cell,x,y,numerical,exact,error,absError
169,-4.9999999999999933e-02,-1.4999999999999991e-01,1.5706464156700001e-01,1.3504876054351241e-05,1.5705113669094567e-01,1.5705113669094567e-01
170,5.0000000000000044e-02,-1.4999999999999991e-01,1.6876554188099999e-01,1.3504876054351241e-05,1.6875203700494565e-01,1.6875203700494565e-01
171,1.5000000000000013e-01,-1.4999999999999991e-01,1.9555389347100000e-01,7.1451302237635778e-06,1.9554674834077623e-01,1.9554674834077623e-01
172,2.5000000000000000e-01,-1.4999999999999991e-01,2.1280424517700000e-01,2.0000886255231215e-06,2.1280224508837448e-01,2.1280224508837448e-01
173,3.5000000000000009e-01,-1.4999999999999991e-01,2.1128173953099999e-01,2.9621556642558424e-07,2.1128144331543355e-01,2.1128144331543355e-01
174,4.5000000000000018e-01,-1.4999999999999991e-01,1.9380295789200000e-01,2.3210583610310523e-08,1.9380293468141638e-01,1.9380293468141638e-01
175,5.5000000000000004e-01,-1.4999999999999991e-01,1.6722308926800000e-01,9.6224084878540649e-10,1.6722308830575916e-01,1.6722308830575916e-01
176,6.5000000000000013e-01,-1.4999999999999991e-01,1.3752990012800001e-01,2.1105763349006473e-11,1.3752990010689425e-01,1.3752990010689425e-01
177,7.5000000000000000e-01,-1.4999999999999991e-01,1.0850489702600000e-01,2.4492768901349084e-13,1.0850489702575507e-01,1.0850489702575507e-01
178,8.5000000000000009e-01,-1.4999999999999991e-01,8.5443875533200001e-02,1.5038144413527208e-15,8.5443875533198502e-02,8.5443875533198502e-02
179,9.5000000000000018e-01,-1.4999999999999991e-01,1.8182698511500001e-01,4.8850629354973959e-18,1.8182698511500001e-01,1.8182698511500001e-01
180,-9.4999999999999996e-01,-4.9999999999999933e-02,1.4059922932899999e-01,2.2271675407771426e-16,1.4059922932899976e-01,1.4059922932899976e-01
181,-8.4999999999999998e-01,-4.9999999999999933e-02,9.3904697667499995e-02,6.8560973632403126e-14,9.3904697667431439e-02,9.3904697667431439e-02
182,-7.5000000000000000e-01,-4.9999999999999933e-02,1.1564882854400001e-01,1.1166591014509768e-11,1.1564882853283341e-01,1.1564882853283341e-01
183,-6.4999999999999991e-01,-4.9999999999999933e-02,1.4539754141100000e-01,9.6224084878540298e-10,1.4539754044875916e-01,1.4539754044875916e-01
