cell,x,y,z,volume,initial,numerical,change,absChange
5045,2.5333333333300001e-01,2.2666666666700000e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.1910199843000001e-02,2.1910199843000001e-02,2.1910199843000001e-02
5046,2.5333333333300001e-01,2.3333333333400000e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.1383633225600000e-02,2.1383633225600000e-02,2.1383633225600000e-02
5047,2.5666666666600002e-01,2.3666666666700001e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.8663888673000001e-02,2.8663888673000001e-02,2.8663888673000001e-02
5048,2.5666666666600002e-01,2.4333333333400001e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.7365779491700000e-02,2.7365779491700000e-02,2.7365779491700000e-02
5049,2.5333333333300001e-01,2.4666666666699999e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.6580125831300001e-02,2.6580125831300001e-02,2.6580125831300001e-02
5050,2.5333333333300001e-01,2.5333333333399999e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,2.5890952085500001e-02,2.5890952085500001e-02,2.5890952085500001e-02
5051,2.5666666666600002e-01,2.5666666666700000e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,3.4401308465000002e-02,3.4401308465000002e-02,3.4401308465000002e-02
5052,2.5666666666700000e-01,2.6333333333400000e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,3.2743092006400000e-02,3.2743092006400000e-02,3.2743092006400000e-02
5053,2.5333333333300001e-01,2.6666666666700001e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,3.2096556922400002e-02,3.2096556922400002e-02,3.2096556922400002e-02
5054,2.5333333333300001e-01,2.7333333333400001e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,3.1985361404899999e-02,3.1985361404899999e-02,3.1985361404899999e-02
5055,2.5666666666700000e-01,2.7666666666700002e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,4.0372910348000002e-02,4.0372910348000002e-02,4.0372910348000002e-02
5056,2.5666666666700000e-01,2.8333333333400001e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,3.9307687206499999e-02,3.9307687206499999e-02,3.9307687206499999e-02
5057,2.5333333333300001e-01,2.8666666666700003e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,3.8973827697499998e-02,3.8973827697499998e-02,3.8973827697499998e-02
5058,2.5333333333300001e-01,2.9333333333400002e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,3.9575519319800002e-02,3.9575519319800002e-02,3.9575519319800002e-02
5059,2.5666666666700000e-01,2.9666666666699998e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,4.7989499042199998e-02,4.7989499042199998e-02,4.7989499042199998e-02
5060,2.5666666666700000e-01,3.0333333333399998e-01,5.0000000000000003e-02,5.0000000000099996e-06,0.0000000000000000e+00,4.7839485634900002e-02,4.7839485634900002e-02,4.7839485634900002e-02
